Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.7
========================================

Computing frequent itemsets from dataset...
+-------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                         Frequent itemsets (min_sup=0.09)                                                        |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                               Itemset                                                               | Support % |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------+
|                                                            Status: Alive                                                            | 97.2480 % |
|                                                                OnCurb                                                               | 95.3040 % |
|                                                        OnCurb, Status: Alive                                                        | 92.6700 % |
|                                                             Health: Good                                                            | 77.8340 % |
|                                                     Health: Good, Status: Alive                                                     | 77.8340 % |
|                                                         Health: Good, OnCurb                                                        | 74.2280 % |
|                                                 Health: Good, OnCurb, Status: Alive                                                 | 74.2280 % |
|                                                             Street Tree                                                             | 73.6380 % |
|                                                      Street Tree, Status: Alive                                                     | 71.6640 % |
|                                                         OnCurb, Street Tree                                                         | 70.2000 % |
|                                                  OnCurb, Street Tree, Status: Alive                                                 | 68.3060 % |
|                                                    Sidewalk: No Sidewalk: Damage                                                    | 64.8780 % |
|                                             Sidewalk: No Sidewalk: Damage, Status: Alive                                            | 64.8780 % |
|                                                Sidewalk: No Sidewalk: Damage, OnCurb                                                | 61.3820 % |
|                                         Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                                        | 61.3820 % |
|                                                            Problems: None                                                           | 61.1740 % |
|                                                    Problems: None, Status: Alive                                                    | 61.1740 % |
|                                                        OnCurb, Problems: None                                                       | 58.0980 % |
|                                                OnCurb, Problems: None, Status: Alive                                                | 58.0980 % |
|                                                      Health: Good, Street Tree                                                      | 57.1840 % |
|                                               Health: Good, Street Tree, Status: Alive                                              | 57.1840 % |
|                                                  Health: Good, OnCurb, Street Tree                                                  | 54.5420 % |
|                                           Health: Good, OnCurb, Street Tree, Status: Alive                                          | 54.5420 % |
|                                             Health: Good, Sidewalk: No Sidewalk: Damage                                             | 52.1140 % |
|                                      Health: Good, Sidewalk: No Sidewalk: Damage, Status: Alive                                     | 52.1140 % |
|                                                     Health: Good, Problems: None                                                    | 50.7960 % |
|                                             Health: Good, Problems: None, Status: Alive                                             | 50.7960 % |
|                                                                 2019                                                                | 50.2640 % |
|                                                                 2018                                                                | 49.7360 % |
|                                         Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb                                         | 49.3140 % |
|                                  Health: Good, Sidewalk: No Sidewalk: Damage, OnCurb, Status: Alive                                 | 49.3140 % |
|                                                               Brooklyn                                                              | 49.2480 % |
|                                                         2019, Status: Alive                                                         | 48.8960 % |
|                                                         2018, Status: Alive                                                         | 48.3520 % |
|                                                 Health: Good, OnCurb, Problems: None                                                | 48.2780 % |
|                                         Health: Good, OnCurb, Problems: None, Status: Alive                                         | 48.2780 % |
|                                                       Brooklyn, Status: Alive                                                       | 48.1800 % |
|                                              Sidewalk: No Sidewalk: Damage, Street Tree                                             | 48.0340 % |
|                                      Sidewalk: No Sidewalk: Damage, Street Tree, Status: Alive                                      | 48.0340 % |
|                                                             OnCurb, 2019                                                            | 47.8820 % |
|                                                             OnCurb, 2018                                                            | 47.4220 % |
|                                            Sidewalk: No Sidewalk: Damage, Problems: None                                            | 47.1400 % |
|                                     Sidewalk: No Sidewalk: Damage, Problems: None, Status: Alive                                    | 47.1400 % |
|                                                           OnCurb, Brooklyn                                                          | 47.1040 % |
|                                                     OnCurb, 2019, Status: Alive                                                     | 46.5740 % |
|                                                     OnCurb, 2018, Status: Alive                                                     | 46.0960 % |
|                                                   OnCurb, Brooklyn, Status: Alive                                                   | 46.0860 % |
|                                          Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree                                         | 45.4600 % |
|                                  Sidewalk: No Sidewalk: Damage, OnCurb, Street Tree, Status: Alive                                  | 45.4600 % |
|                                                     Problems: None, Street Tree                                                     | 45.1700 % |
|                                              Problems: None, Street Tree, Status: Alive                                             | 45.1700 % |
|                                        Sidewalk: No Sidewalk: Damage, OnCurb, Problems: None                                        | 44.5400 % |
