Parameters:
Minimum support         : 0.09
Minimum confidence      : 0.8
========================================

Computing frequent itemsets from dataset...
+-----------------------------------------------------------------------------------------------------------------+
|                                         Frequent itemsets (min_sup=0.09)                                        |
+------------------------------------------------------------------------------------------+----------------------+
|                                         Itemset                                          |      Support %       |
+------------------------------------------------------------------------------------------+----------------------+
|                                         (2019,)                                          |        50.5 %        |
|                                     ('Street Tree',)                                     |       75.02 %        |
|                                        ('Bronx',)                                        |       24.94 %        |
|                                       ('OnCurb',)                                        |       94.96 %        |
|                                        ('Alive',)                                        |       97.18 %        |
|                                        ('Fair',)                                         |       14.82 %        |
|                                      ('NoDamage',)                                       |       64.66 %        |
|                                      ('Volunteer',)                                      |       30.64 %        |
|                                     ('NoProblems',)                                      |       62.18 %        |
|                                  ('(71.353, 73.473]',)                                   | 19.919999999999998 % |
|                                     ('(6.0, 9.0]',)                                      |       13.38 %        |
|                                         (2018,)                                          |        49.5 %        |
|                                      ('Brooklyn',)                                       | 49.980000000000004 % |
|                                        ('Good',)                                         |        77.9 %        |
|                                  ('(82.603, 95.183]',)                                   | 19.919999999999998 % |
|                                     ('Light Pole',)                                      |       24.98 %        |
|                                ('Platanus x acerifolia',)                                | 12.740000000000002 % |
|                                  ('London planetree',)                                   | 12.740000000000002 % |
|                                   ('NYC Parks Staff',)                                   | 26.119999999999997 % |
|                                    ('(16.0, 59.0]',)                                     | 17.599999999999998 % |
|                                        ('BK81',)                                         |       10.74 %        |
|                         ('Gleditsia triacanthos var. inermis',)                          | 13.239999999999998 % |
|                                     ('honeylocust',)                                     | 13.239999999999998 % |
|                                       ('Damage',)                                        | 32.519999999999996 % |
|                                         (11212,)                                         |       10.86 %        |
|                            ('(52.443000000000005, 71.353]',)                             | 19.919999999999998 % |
|                                    ('(-0.001, 4.0]',)                                    |       31.14 %        |
|                                      ('Manhattan',)                                      |       13.96 %        |
|                                  ('(76.336, 82.603]',)                                   | 19.919999999999998 % |
|                                     ('(9.0, 16.0]',)                                     |       22.34 %        |
|                                       ('Queens',)                                        |       11.12 %        |
|                                  ('TreesCount Staff',)                                   |       43.24 %        |
|                                  ('(73.473, 76.336]',)                                   | 19.900000000000002 % |
|                                       ('Stones',)                                        |        13.5 %        |
|                                        ('BK82',)                                         |        12.6 %        |
|                                     ('(4.0, 6.0]',)                                      | 15.540000000000001 % |
|                                        ('BX27',)                                         |        9.16 %        |
|                                    ('BK81', 'Alive')                                     |        10.5 %        |
|                                    ('BK81', 'OnCurb')                                    |       10.02 %        |
|                                     ('BK81', 11212)                                      |        10.7 %        |
|                                   ('BK81', 'Brooklyn')                                   |       10.74 %        |
|                      ('Gleditsia triacanthos var. inermis', 'Good')                      |       10.92 %        |
|                     ('Gleditsia triacanthos var. inermis', 'Alive')                      | 13.239999999999998 % |
|                  ('Gleditsia triacanthos var. inermis', 'honeylocust')                   | 13.239999999999998 % |
|                  ('Gleditsia triacanthos var. inermis', 'Street Tree')                   |        9.58 %        |
|                     ('Gleditsia triacanthos var. inermis', 'OnCurb')                     |        13.0 %        |
|                                 ('Good', '(9.0, 16.0]')                                  | 18.099999999999998 % |
|                                    ('Good', 'Alive')                                     |        77.9 %        |
|                                  ('Good', '(6.0, 9.0]')                                  |        10.8 %        |
|                               ('Good', '(73.473, 76.336]')                               |       15.78 %        |
|                                  ('Good', 'Volunteer')                                   | 23.580000000000002 % |
|                                  ('Good', 'Manhattan')                                   |       10.18 %        |
|                                 ('Good', 'honeylocust')                                  |       10.92 %        |
|                                 ('Good', '(16.0, 59.0]')                                 |       14.78 %        |
|                               ('Good', '(76.336, 82.603]')                               |       15.36 %        |
|                               ('Good', 'London planetree')                               | 10.100000000000001 % |
|                                     ('Good', 'BK82')                                     |        9.58 %        |
|                                ('Good', '(-0.001, 4.0]')                                 |       21.88 %        |
|                                 ('Good', 'Street Tree')                                  | 58.160000000000004 % |
|                                    ('Good', 'Stones')                                    |       10.56 %        |
|                               ('Good', '(82.603, 95.183]')                               |       15.36 %        |
|                               ('Good', 'NYC Parks Staff')                                | 20.919999999999998 % |
|                                    ('Good', 'Damage')                                    |       25.96 %        |
|                                    ('Good', 'OnCurb')                                    |       73.92 %        |
|                                  ('Good', 'NoProblems')                                  | 51.580000000000005 % |
|                                   ('Good', 'Brooklyn')                                   | 40.160000000000004 % |
|                                  ('Good', 'Light Pole')                                  |       19.74 %        |
|                               ('Good', '(71.353, 73.473]')                               |       15.68 %        |
|                                      ('Good', 2019)                                      |       39.06 %        |
|                                      ('Good', 2018)                                      |       38.84 %        |
|                                    ('Good', 'Bronx')                                     |       18.78 %        |
|                                  ('Good', '(4.0, 6.0]')                                  |       12.34 %        |
|                            ('Good', 'Platanus x acerifolia')                             | 10.100000000000001 % |
|                               ('Good', 'TreesCount Staff')                               |        33.4 %        |
|                                   ('Good', 'NoDamage')                                   |       51.94 %        |
|                         ('Good', '(52.443000000000005, 71.353]')                         |       15.32 %        |
|                                 ('(9.0, 16.0]', 'Alive')                                 |       22.16 %        |
|                              ('(9.0, 16.0]', 'Street Tree')                              |       16.66 %        |
|                                ('(9.0, 16.0]', 'Damage')                                 |       10.14 %        |
|                                ('(9.0, 16.0]', 'OnCurb')                                 |       21.26 %        |
|                              ('(9.0, 16.0]', 'NoProblems')                               |       11.92 %        |
|                               ('(9.0, 16.0]', 'Brooklyn')                                | 10.639999999999999 % |
|                                  ('(9.0, 16.0]', 2019)                                   |       11.58 %        |
|                                  ('(9.0, 16.0]', 2018)                                   |       10.76 %        |
|                           ('(9.0, 16.0]', 'TreesCount Staff')                            |        9.24 %        |
|                               ('(9.0, 16.0]', 'NoDamage')                                |       12.02 %        |
|                                 ('Alive', '(6.0, 9.0]')                                  |       13.26 %        |
|                              ('Alive', '(73.473, 76.336]')                               | 19.439999999999998 % |
|                                  ('Alive', 'Volunteer')                                  |       29.84 %        |
|                                  ('Alive', 'Manhattan')                                  |       13.48 %        |
|                                 ('Alive', 'honeylocust')                                 | 13.239999999999998 % |
|                                ('Alive', '(16.0, 59.0]')                                 |        17.5 %        |
|                              ('Alive', '(76.336, 82.603]')                               |       19.28 %        |
|                              ('Alive', 'London planetree')                               | 12.740000000000002 % |
|                                    ('Alive', 'BK82')                                     |       12.26 %        |
|                                ('Alive', '(-0.001, 4.0]')                                |       28.96 %        |
|                                    ('Alive', 'Fair')                                     |       14.82 %        |
|                                 ('Alive', 'Street Tree')                                 | 72.96000000000001 %  |
|                                   ('Alive', 'Stones')                                    |        13.5 %        |
|                              ('Alive', '(82.603, 95.183]')                               |       19.46 %        |
|                               ('Alive', 'NYC Parks Staff')                               | 25.380000000000003 % |
|                                   ('Alive', 'Damage')                                    | 32.519999999999996 % |
|                                   ('Alive', 'OnCurb')                                    | 92.25999999999999 %  |
|                                 ('Alive', 'NoProblems')                                  |       62.18 %        |
|                                     ('Alive', 11212)                                     | 10.620000000000001 % |
|                                  ('Alive', 'Brooklyn')                                   | 48.980000000000004 % |
|                                 ('Alive', 'Light Pole')                                  |       24.22 %        |
|                              ('Alive', '(71.353, 73.473]')                               |       19.28 %        |
|                                     ('Alive', 2019)                                      |       48.94 %        |
|                                     ('Alive', 2018)                                      |       48.24 %        |
|                                    ('Alive', 'Bronx')                                    |       23.86 %        |
|                                 ('Alive', '(4.0, 6.0]')                                  | 15.299999999999999 % |
|                            ('Alive', 'Platanus x acerifolia')                            | 12.740000000000002 % |
|                              ('Alive', 'TreesCount Staff')                               | 41.959999999999994 % |
|                                   ('Alive', 'Queens')                                    |       10.86 %        |
|                                  ('Alive', 'NoDamage')                                   |       64.66 %        |
|                        ('Alive', '(52.443000000000005, 71.353]')                         |        19.3 %        |
|                              ('(6.0, 9.0]', 'Street Tree')                               |        9.62 %        |
|                                 ('(6.0, 9.0]', 'OnCurb')                                 |       12.94 %        |
|                           ('(73.473, 76.336]', 'Street Tree')                            | 15.379999999999999 % |
|                              ('(73.473, 76.336]', 'OnCurb')                              |       18.98 %        |
|                            ('(73.473, 76.336]', 'NoProblems')                            |       12.44 %        |
|                             ('(73.473, 76.336]', 'Brooklyn')                             |       10.02 %        |
|                                ('(73.473, 76.336]', 2018)                                | 14.580000000000002 % |
|                             ('(73.473, 76.336]', 'NoDamage')                             |       13.34 %        |
|                                ('Volunteer', 'Manhattan')                                |        9.64 %        |
|                               ('Volunteer', 'Street Tree')                               | 23.380000000000003 % |
|                                 ('Volunteer', 'Damage')                                  |       11.48 %        |
|                                 ('Volunteer', 'OnCurb')                                  |       28.84 %        |
|                               ('Volunteer', 'NoProblems')                                | 14.180000000000001 % |
|                                ('Volunteer', 'Brooklyn')                                 | 14.799999999999999 % |
|                                   ('Volunteer', 2019)                                    |       17.84 %        |
|                                   ('Volunteer', 2018)                                    |        12.8 %        |
|                                ('Volunteer', 'NoDamage')                                 | 18.360000000000003 % |
|                               ('Manhattan', 'Street Tree')                               |       11.84 %        |
|                                 ('Manhattan', 'OnCurb')                                  |       12.82 %        |
